judge,clip,n_gt_positives,n_pred,tp,fp,fn,precision,recall,f1,pass_by_labeled,pass_by_fired,n_candidates,static_camera,tiled,seconds,note
vlm,1THkHYIQ_bY_0,1,4,0,4,1,0.0,0.0,0.0,1,0,5,True,False,115.1,
vlm,HIu4lM4B8hA_1,3,4,1,3,2,0.25,0.3333,0.2857,0,0,7,True,False,55.2,
vlm,NmlzoaDcOuI_1,3,5,2,3,1,0.4,0.6667,0.5,2,1,7,True,False,65.4,
vlm,NmlzoaDcOuI_6,1,2,1,1,0,0.5,1.0,0.6667,2,1,6,True,False,50.0,
vlm,gt1125_06,2,7,2,5,0,0.2857,1.0,0.4444,0,0,14,True,True,721.7,"recall stress (moving camera, oblique overhead)"
vlm,iMGR_0AG3a8_2_3,6,8,3,5,3,0.375,0.5,0.4286,1,0,8,True,False,62.1,
vlm,mKzCQKTHizw_0,1,1,1,0,0,1.0,1.0,1.0,1,0,4,False,False,79.7,precision stress (runners near parked cars)
vlm,mKzCQKTHizw_1,1,1,1,0,0,1.0,1.0,1.0,0,0,1,False,False,40.2,
vlm,POOLED,18,32,14,18,4,0.4375,0.7778,0.56,7,4,,,,,all 8 clips
